aar	aa	Afar, afar
abk	ab	Abkhazian
afr	af	Afrikaans
aka	ak	Akan
alb	sq	Albanian
amh	am	Amharic
ara	ar	Arabic
arg	an	Aragonese
arm	hy	Armenian
asm	as	Assamese
ava	av	Avaric
ave	ae	Avestan
aym	ay	Aymara
aze	az	Azerbaijani
bak	ba	Bashkir
bam	bm	Bambara
baq	eu	Basque
bel	be	Belarusian
ben	bn	Bengali
bih	bh	Bihari
bis	bi	Bislama
bos	bs	Bosnian
bre	br	Breton
bul	bg	Bulgarian
bur	my	Burmese
cat	ca	Catalan
cha	ch	Chamorro
che	ce	Chechen
chi	zh	Chinese (simplified)
chu	cu	Church Slavic
chv	cv	Chuvash
cor	kw	Cornish
cos	co	Corsican
cre	cr	Cree
cze	cs	Czech
dan	da	Danish
div	dv	Divehi
dut	nl	Dutch
dzo	dz	Dzongkha
eng	en	English
epo	eo	Esperanto
est	et	Estonian
ewe	ee	Ewe
fao	fo	Faroese
fij	fj	Fijian
fin	fi	Finnish
fre	fr	French
fry	fy	Frisian
ful	ff	Fulah
geo	ka	Georgian
ger	de	German
gla	gd	Gaelic
gle	ga	Irish
glg	gl	Galician
glv	gv	Manx
ell	el	Greek
grn	gn	Guarani
guj	gu	Gujarati
hat	ht	Haitian
hau	ha	Hausa
heb	he	Hebrew
her	hz	Herero
hin	hi	Hindi
hmo	ho	Hiri Motu
hrv	hr	Croatian
hun	hu	Hungarian
ibo	ig	Igbo
ice	is	Icelandic
ido	io	Ido
iii	ii	Sichuan Yi
iku	iu	Inuktitut
ile	ie	Interlingue
ina	ia	Interlingua (International Auxiliary Language Asso
ind	id	Indonesian
ipk	ik	Inupiaq
ita	it	Italian
jav	jv	Javanese
jpn	ja	Japanese
kal	kl	Kalaallisut
kan	kn	Kannada
kas	ks	Kashmiri
kau	kr	Kanuri
kaz	kk	Kazakh
khm	km	Khmer
kik	ki	Kikuyu
kin	rw	Kinyarwanda
kir	ky	Kirghiz
kom	kv	Komi
kon	kg	Kongo
kor	ko	Korean
kua	kj	Kuanyama
kur	ku	Kurdish
lao	lo	Lao
lat	la	Latin
lav	lv	Latvian
lim	li	Limburgan
lin	ln	Lingala
lit	lt	Lithuanian
ltz	lb	Luxembourgish
lub	lu	Luba-Katanga
lug	lg	Ganda
mac	mk	Macedonian
mah	mh	Marshallese
mal	ml	Malayalam
mao	mi	Maori
mar	mr	Marathi
may	ms	Malay
mlg	mg	Malagasy
mlt	mt	Maltese
mni	ma	Manipuri
mol	mo	Moldavian
mon	mn	Mongolian
nau	na	Nauru
nav	nv	Navajo
nbl	nr	Ndebele, South
nde	nd	Ndebele, North
ndo	ng	Ndonga
nep	ne	Nepali
nno	nn	Norwegian Nynorsk
nob	nb	Norwegian Bokmal
nor	no	Norwegian
nya	ny	Chichewa
oci	oc	Occitan
oji	oj	Ojibwa
ori	or	Oriya
orm	om	Oromo
oss	os	Ossetian
pan	pa	Panjabi
per	fa	Persian
pli	pi	Pali
pol	pl	Polish
por	pt	Portuguese
pus	ps	Pushto
que	qu	Quechua
roh	rm	Raeto-Romance
run	rn	Rundi
rus	ru	Russian
sag	sg	Sango
san	sa	Sanskrit
scc	sr	Serbian
sin	si	Sinhalese
slo	sk	Slovak
slv	sl	Slovenian
sme	se	Northern Sami
smo	sm	Samoan
sna	sn	Shona
snd	sd	Sindhi
som	so	Somali
sot	st	Sotho, Southern
spa	es	Spanish
srd	sc	Sardinian
ssw	ss	Swati
sun	su	Sundanese
swa	sw	Swahili
swe	sv	Swedish
syr	sy	Syriac
tah	ty	Tahitian
tam	ta	Tamil
tat	tt	Tatar
tel	te	Telugu
tgk	tg	Tajik
tgl	tl	Tagalog
tha	th	Thai
tib	bo	Tibetan
tir	ti	Tigrinya
ton	to	Tonga (Tonga Islands)
tsn	tn	Tswana
tso	ts	Tsonga
tuk	tk	Turkmen
tur	tr	Turkish
twi	tw	Twi
uig	ug	Uighur
ukr	uk	Ukrainian
urd	ur	Urdu
uzb	uz	Uzbek
ven	ve	Venda
vie	vi	Vietnamese
vol	vo	Volapük
wel	cy	Welsh
wln	wa	Walloon
wol	wo	Wolof
xho	xh	Xhosa
yid	yi	Yiddish
yor	yo	Yoruba
zha	za	Zhuang
zul	zu	Zulu
rum	ro	Romanian
pob	pb	Portuguese (BR)
mne	me	Montenegrin
zht	zt	Chinese (traditional)
zhe	ze	Chinese bilingual
